date,home_team,away_team,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post,result,neutral,match_importance,elo_diff
1872-11-30,Scotland,England,1500.0,1500.0,1500.0,1500.0,DRAW,False,FRIENDLY,0.0
1873-03-08,England,Scotland,1500.0,1500.0,1504.7451481720598,1495.2548518279402,HOME_WIN,False,FRIENDLY,0.0
1874-03-07,Scotland,England,1495.2548518279402,1504.7451481720598,1498.3541741997205,1501.6458258002795,HOME_WIN,False,FRIENDLY,-9.490296344119542
1875-03-06,England,Scotland,1501.6458258002795,1498.3541741997205,1501.6458258002795,1498.3541741997205,DRAW,False,FRIENDLY,3.2916516005589074
1876-03-04,Scotland,England,1498.3541741997205,1501.6458258002795,1504.4146952890512,1495.5853047109488,HOME_WIN,False,FRIENDLY,-3.2916516005589074
1876-03-25,Scotland,Wales,1504.4146952890512,1500.0,1511.2535455100804,1493.1611497789709,HOME_WIN,False,FRIENDLY,4.414695289051224
1877-03-03,England,Scotland,1495.5853047109488,1511.2535455100804,1487.4243564289802,1519.414493792049,AWAY_WIN,False,FRIENDLY,-15.668240799131581
1877-03-05,Wales,Scotland,1493.1611497789709,1519.414493792049,1485.1909684263508,1527.384675144669,AWAY_WIN,False,FRIENDLY,-26.25334401307805
1878-03-02,Scotland,England,1527.384675144669,1487.4243564289802,1534.0244899892518,1480.7845415843974,HOME_WIN,False,FRIENDLY,39.9603187156888
1878-03-23,Scotland,Wales,1534.0244899892518,1485.1909684263508,1542.259027334194,1476.9564310814087,HOME_WIN,False,FRIENDLY,48.83352156290107
1879-01-18,England,Wales,1480.7845415843974,1476.9564310814087,1483.7363009177338,1474.0046717480723,HOME_WIN,False,FRIENDLY,3.828110502988693
1879-04-05,England,Scotland,1483.7363009177338,1542.259027334194,1487.4010368695456,1538.5942913823822,HOME_WIN,False,FRIENDLY,-58.522726416460046
1879-04-07,Wales,Scotland,1474.0046717480723,1538.5942913823822,1464.8420881139673,1547.7568750164871,AWAY_WIN,False,FRIENDLY,-64.58961963430988
1880-03-13,Scotland,England,1547.7568750164871,1487.4010368695456,1550.1218675443984,1485.0360443416344,HOME_WIN,False,FRIENDLY,60.35583814694155
1880-03-15,Wales,England,1464.8420881139673,1485.0360443416344,1459.7443625235117,1490.13376993209,AWAY_WIN,False,FRIENDLY,-20.19395622766706
1880-03-27,Scotland,Wales,1550.1218675443984,1459.7443625235117,1554.9600061031808,1454.9062239647292,HOME_WIN,False,FRIENDLY,90.3775050208867
1881-02-26,England,Wales,1490.13376993209,1454.9062239647292,1484.4332542125817,1460.6067396842375,AWAY_WIN,False,FRIENDLY,35.22754596736081
1881-03-12,England,Scotland,1484.4332542125817,1554.9600061031808,1472.7729001057935,1566.620360209969,AWAY_WIN,False,FRIENDLY,-70.52675189059914
